Prefix Length	Step	Time	Tries
4	0	0.00021700	11
4	1	0.00026500	20
4	2	0.00007300	4
4	3	0.00015200	7
4	4	0.00003900	2
8	0	0.00233700	116
8	1	0.00256100	113
8	2	0.00045800	28
8	3	0.00111900	69
8	4	0.00025600	15
12	0	0.00749700	450
12	1	0.00861700	518
12	2	0.04761400	2690
12	3	0.07610800	4273
12	4	0.01064300	576
16	0	0.95757400	55152
16	1	0.95019100	54855
16	2	0.65905600	38987
16	3	0.96372400	56874
16	4	0.44366600	26305
20	0	8.51934100	505385
20	1	9.73460100	572977
20	2	4.39949600	261839
20	3	8.91744400	520580
20	4	4.40155500	264099
