Prefix Length	Step	Time	Tries
4	0	0.00024600	6
4	1	0.00004100	1
4	2	0.00029400	8
4	3	0.00025900	7
4	4	0.00012000	3
8	0	0.00552000	280
8	1	0.00509000	262
8	2	0.00136600	61
8	3	0.00335800	172
8	4	0.00623900	323
12	0	0.02634100	1381
12	1	0.01128300	592
12	2	0.02362100	1267
12	3	0.02954400	1573
12	4	0.03693000	1992
16	0	1.91794500	103894
16	1	1.16955800	63336
16	2	0.28840500	15347
16	3	0.41598200	22503
16	4	0.65653100	35605
20	0	3.73570700	200146
20	1	24.19534300	1296007
20	2	1.69306300	90381
20	3	5.01505500	265760
20	4	8.12115000	429357
